Year,Grid,TX90p,TX10p,TN90p,TN10p,WSDI,DTR,TXx,TXn,TNx,TNn,rv20TXx,rv20TXn,rv20TNx,rv20TNn
1990,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.94190414979324,31.2802309262022,28.6496690978688,26.1300562320671,24.1748547662337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1991,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.98979714053297,31.3645916853689,28.4642112320355,26.2714174712337,23.9277615662337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1992,3,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,16,5.21172108948576,31.3718892012022,28.5082697145355,25.9938829862337,23.8533749695671,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1993,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,13,4.96335202861516,31.1918761795355,28.2829050312022,25.8866938079004,23.9266006270671,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1994,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.83696452395762,30.9987393287022,28.1637351570355,25.9486978945671,23.9099049679004,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1995,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,15,5.01616917746447,31.2524802753688,28.5730000420355,26.0715349637337,24.1174079687337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1996,3,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,20,4.87548191574259,30.9526234520355,27.9682484537022,26.0707122595671,23.8687787170671,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1997,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,15,5.27091879913571,31.6794835012022,28.5254854428688,26.0266499629004,24.2033988762337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1998,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,12,4.95331019877954,32.1259925437022,28.8270855828689,26.7605366820671,24.8019261487337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
1999,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,14,4.73855942253297,30.6695067953689,27.8070240887022,25.7401929020671,23.8686541045671,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2000,3,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,8,4.73829910664423,30.8381660053688,28.0358448903688,25.9345237529004,24.0317629312337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2001,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,6,4.80724403957406,30.9473044945355,28.1798090212022,26.1689152820671,23.9302017012337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2002,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.97562465165626,31.2957402162022,28.4326153678688,26.2486729729004,24.1328396920671,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2003,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.97469282039598,31.4743214512022,28.4232006945355,26.1793065179004,24.2245208537337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2004,3,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,8,4.92024173896663,31.2673258070355,28.6218713978689,26.1796104237337,24.2148925587337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2005,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,24,4.80103931445078,31.3063590587022,28.3450655203688,26.3115112112337,24.3133943987337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2006,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,16,4.83650638436858,31.1636931970355,27.9767476003688,26.1320029995671,24.0560867087337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2007,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,0,4.98496294697132,31.4174405003689,28.2658253587022,26.1229901437337,24.1098663129004,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2008,3,10.1092896174863,10.1092896174863,10.1092896174863,10.1092896174863,8,4.79290927019614,30.9830291328689,28.4042658095355,26.1174041545671,24.1026883245671,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2009,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,7,4.92243661012201,31.4721381720355,28.7110857237022,26.3279741712337,24.3140022079004,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
2010,3,10.1369863013699,10.1369863013699,10.1369863013699,10.1369863013699,9,4.69330118554667,31.5773907570355,28.2391593537022,26.3343459879004,24.3901244912337,33.5063678665933,30.4379567776876,27.5935905642536,1.59945076463327E+215
