Grid,Year,Rx1day,Rx5day,R5mm,R10mm,R20mm,R50mm,CDD,CWD,R95p,R99p,SDII
85,2004,112.941720230537,240.066348222177,94,66,32,3,33,11,381.251601894295,112.941720230537,15.0643167322594
85,2005,107.184749294004,303.595516290809,87,59,27,5,36,12,530.513742885772,190.078028348894,17.2995444904868
85,2006,57.7055949877168,207.873244597817,96,62,26,4,25,17,264.659531621463,0,14.1750404922395
85,2007,141.378536525421,264.693604673784,82,65,32,4,42,11,313.05005270857,141.378536525421,16.0836208121193
85,2008,67.1253329165269,201.375992329788,83,50,19,3,43,18,240.436925433862,0,13.2849335206672
85,2009,85.5730505248195,196.594126989779,85,55,33,4,41,8,437.758746680636,85.5730505248195,17.0749155482253
85,2010,66.1638725904135,210.291523981835,109,75,35,2,33,12,168.165324736719,0,14.5036936499905
85,2011,82.2925148087864,265.78404399478,113,84,42,12,30,20,815.193101029316,82.2925148087864,19.804950488579
85,2012,184.156892601005,328.097461589372,87,68,29,7,65,14,581.482838102927,270.497600595386,19.691213424349
85,2013,60.3184401137093,180.955321411093,82,51,23,3,29,16,263.933921657322,0,12.7513553901885
85,2014,79.97415201591,282.883169558585,110,76,43,12,38,13,803.371429579899,0,19.0636611544504
85,2015,63.1607125985939,176.849990996201,102,73,33,4,45,16,262.495925433032,0,15.4286998502752
85,2016,120.204870944796,462.429531469957,61,35,18,4,58,18,474.120279797123,428.085280335803,14.0418682304913
85,2017,113.195922641289,211.751251206051,102,60,21,4,29,11,337.119873168233,113.195922641289,13.6704016685292
85,2018,44.311031409743,147.474855589699,106,60,28,0,32,31,0,0,11.4106790091289
85,2019,86.2700153717764,272.757947717264,78,52,19,5,25,13,445.284693768789,86.2700153717764,14.572427871593
85,2020,80.4721182536987,181.782823122745,94,57,23,4,28,10,305.311772030841,0,13.2444787154975
85,2021,62.2974847378765,219.607789824046,103,63,28,6,34,10,446.504388135774,0,14.3369524224613
85,2022,79.6218861943155,169.305022060845,94,58,26,1,41,9,129.494081638601,0,13.029535015463
85,2023,64.6645149129107,203.090922382527,92,69,42,7,31,12,435.884565098258,0,17.434060458666
85,2024,86.7598990899471,244.524643146156,88,46,23,7,36,11,448.405385194279,86.7598990899471,15.5872953664718
86,1981,59.0115981560418,174.827717642619,79,52,29,2,27,7,113.006042811194,0,17.1207737174194
86,1982,89.0317701262081,198.299649901562,56,40,18,8,48,7,542.43271134022,0,18.5846989448254
86,1983,138.405734677523,453.836958205816,55,40,21,5,59,8,499.034214872909,361.540898655866,23.7326362961649
86,1984,157.464155089869,298.525806552668,104,73,36,7,24,11,574.603291101989,157.464155089869,18.5843354699583
86,1985,103.733142173509,215.432920565367,66,47,19,5,34,4,299.747763893744,103.733142173509,18.8622119691108
86,1986,141.333488980728,201.535015485387,65,44,27,3,29,6,256.382506772367,141.333488980728,17.9408628156331
86,1987,70.3252695532115,158.067794557435,82,54,21,4,47,12,138.760159412815,0,15.3698785771967
86,1988,114.515029957023,237.594418316312,82,49,17,2,37,5,167.939198040626,114.515029957023,14.4016578978007
86,1989,142.09947763155,142.09947763155,59,50,17,3,31,5,142.09947763155,142.09947763155,16.8522021271546
86,1990,128.205089902179,200.725107513266,75,55,31,9,36,5,717.045047292916,367.759424741874,22.2818520369195
86,1991,111.320658946943,171.706550603731,54,41,20,6,37,5,446.593386277842,111.320658946943,18.8005317305432
86,1992,104.529099919822,226.479723782039,70,52,30,7,46,5,488.131628498026,104.529099919822,20.1579130588851
86,1993,245.764022174592,505.221622738313,85,63,27,8,30,10,772.206474968777,475.091979927291,23.9318017911369
86,1994,174.706892221075,368.876623639088,62,52,25,8,32,7,676.063533776269,174.706892221075,24.7590895071051
86,1995,194.891236571934,194.891236571934,77,51,20,2,36,7,194.891236571934,194.891236571934,16.5369998706509
86,1996,98.3958222981097,294.390118389553,74,57,33,8,35,8,434.548002084449,0,21.0061600824045
86,1997,102.175930040638,279.50157015238,84,63,31,7,39,9,474.521594019385,102.175930040638,21.7733554576295
86,1998,71.3355221860566,220.800429302335,82,49,26,4,31,10,242.717907984697,0,14.9472371045216
86,1999,86.6478931311221,186.461753313105,94,70,29,4,40,11,299.687281207704,0,18.1258694213961
86,2000,250.904995819847,352.76619514297,92,54,29,3,28,6,436.295373103014,374.364308339639,17.6679467939176
86,2001,104.733110628602,199.959891870489,87,63,24,8,47,8,462.810979164361,104.733110628602,16.5529868779369
86,2002,76.1181393606177,228.298332904097,91,65,35,3,29,10,203.5809687882,0,15.6860989021166
86,2003,177.652763558657,284.244428254033,84,54,25,3,45,7,293.008075127813,177.652763558657,16.4217530137453
86,2004,102.433881841211,279.81603572923,99,65,33,10,39,11,585.075770115172,204.867763682422,17.2839782092766
86,2005,108.491864980582,262.678039548069,98,67,28,6,31,13,455.771340316353,108.491864980582,16.9928809455426
86,2006,51.4326642866433,188.222979434847,96,62,25,3,25,25,51.4326642866433,0,14.9512272233614
86,2007,122.432753462643,297.898315358793,85,57,28,6,20,9,433.524097714052,122.432753462643,17.0396248591519
86,2008,103.787740376809,228.33302970367,81,54,24,4,35,12,305.443668752825,103.787740376809,14.7600608643459
86,2009,99.0322364320902,210.895191683428,87,59,35,8,27,10,531.598044710389,99.0322364320902,18.7547605498166
86,2010,59.1197569606112,210.073385728924,115,75,36,4,35,12,117.966235350106,0,15.421425499592
86,2011,101.357230332041,321.664787736861,118,88,49,15,29,18,1025.53054315707,101.357230332041,23.2692031258605
86,2012,182.888717697356,397.873212687747,90,62,36,8,29,14,632.338335900382,182.888717697356,20.4280285593135
86,2013,66.811642940476,209.619277943468,92,59,30,7,21,10,408.565373589778,0,15.3304413968213
86,2014,98.3879938149388,347.390914231055,106,79,47,13,37,13,902.605618642964,0,22.3423604431664
86,2015,81.6545454352717,194.51554591518,101,67,36,5,46,14,340.611854536282,0,18.1358055272874
86,2016,207.665768530613,732.605851215302,63,41,22,7,28,11,853.58872367342,705.520921995441,22.9105106189685
86,2017,124.549406934071,233.477174103282,105,63,20,5,24,13,313.859908098714,124.549406934071,14.9150109193048
86,2018,46.5770858676019,181.564817323613,101,65,34,0,28,21,0,0,13.9157509113217
86,2019,121.997736898507,334.240472942908,76,51,25,7,60,13,559.813459381584,223.789185639276,18.1817333740532
86,2020,103.909676655741,207.819355498209,92,62,31,4,27,9,337.409796086932,206.074410653408,15.2301899478676
86,2021,92.6361196746407,256.113000305572,108,74,38,6,34,13,399.870523338634,0,15.9797317730903
86,2022,69.3009912524731,210.112865994122,99,61,32,3,37,8,180.796995102082,0,16.0927990847793
86,2023,75.9938960845499,273.038972516338,99,77,45,15,28,10,798.838608439468,0,20.1290503596617
86,2024,106.6609839458,315.659889585607,93,55,25,10,36,15,630.8793143764,106.6609839458,16.5946231539996
87,1981,96.8722940557309,156.401542887512,73,50,20,5,45,10,180.979719441242,0,15.7270387122489
87,1982,109.298200881678,262.612499561311,51,33,20,11,48,7,921.1161953943,0,22.0590216738926
87,1983,185.601467840633,557.77489357256,54,39,23,10,38,8,764.785561872794,451.725721574582,25.8293539759487
87,1984,209.693664184437,362.595293545857,100,72,40,8,20,25,633.296127050829,341.718914063647,18.7443274998536
87,1985,100.646516086738,240.809899969012,63,43,27,9,27,5,268.133070268818,0,20.1087939274121
87,1986,82.3395963313196,228.039995864108,51,37,19,5,45,7,154.136912262746,0,17.5107309170582
87,1987,75.2398815802357,173.040009905294,63,43,20,5,47,7,216.851252110314,0,15.5007186169091
87,1988,142.002470181618,271.666704880166,80,47,15,4,28,14,230.698062032922,142.002470181618,14.7862569489624
87,1989,155.75268334205,198.068464991754,50,32,16,4,37,4,303.827720307115,155.75268334205,18.2093656008422
87,1990,169.186419247038,318.544560900086,62,41,22,8,50,4,844.358308370868,542.916898696746,24.4725442970871
87,1991,118.188623538814,260.014967147003,52,38,20,8,24,5,576.024642869061,118.188623538814,19.6058463015011
87,1992,149.22889411379,379.056150865449,70,46,29,9,46,6,727.643208128398,149.22889411379,21.1956464744016
87,1993,274.358785048478,530.501174293414,68,53,29,9,30,8,775.687773112307,274.358785048478,25.6911195724112
87,1994,280.506911182521,528.5162582155,64,42,24,10,30,6,920.806479749865,399.181690030433,28.3852082112836
87,1995,251.1829719521,301.419565182923,71,44,29,5,29,6,324.083119278656,251.1829719521,19.2164471787085
87,1996,142.026260476843,341.579887641583,70,46,24,6,35,8,403.113348247931,142.026260476843,18.9504713195459
87,1997,123.619451862926,295.193997672101,69,51,26,9,35,5,286.86410688556,123.619451862926,21.6560077499639
87,1998,76.2427081571513,254.142374052471,83,48,22,6,31,12,148.005853079625,0,15.1574276742694
87,1999,102.015919154567,221.758613927281,91,61,34,6,34,12,343.284184686866,0,18.7657112376759
87,2000,248.204871347611,356.284264884335,85,60,24,5,16,10,490.621411727931,421.381893454712,17.1773201992284
87,2001,107.85022351065,238.149557974823,78,53,23,10,54,8,489.33529440654,0,17.1395505933655
87,2002,73.5086192627184,278.999604182674,85,62,37,9,29,10,210.74338718948,0,18.5138433901763
87,2003,162.1671341546,270.278575477887,77,44,22,8,37,8,312.65076109279,162.1671341546,15.9448765535906
87,2004,116.51293607453,302.933637272571,98,70,37,5,41,9,419.074109581433,233.025872149061,17.9786762548254
87,2005,122.966871170195,342.082450090821,87,57,29,9,29,14,480.689166401166,245.302225729974,18.0922628821605
87,2006,71.2444663919807,253.35582278127,80,52,25,8,22,7,270.677285565553,0,16.6724727172411
87,2007,139.796023503684,303.788391410019,89,53,27,8,32,11,424.942836579052,139.796023503684,17.3302976991323
87,2008,107.514868013528,236.532691076208,72,46,29,5,32,8,374.812463607191,0,16.8359052906953
87,2009,114.56102097204,302.164025396605,79,58,40,8,24,7,497.273461678272,114.56102097204,21.2001274579614
87,2010,76.7833981608339,266.561740750466,100,71,35,7,30,12,268.855997922935,0,15.9396288258448
87,2011,122.231443058751,433.409639842044,112,86,44,23,43,13,1165.5508418423,122.231443058751,25.7953442329451
87,2012,202.052881400998,455.504751295392,80,55,31,15,35,12,795.222378088495,202.052881400998,21.208528056558
87,2013,88.56111336928,257.822522604711,82,58,34,11,19,10,437.205236727403,0,18.5158994618473
87,2014,135.713197881912,454.24287071413,85,70,42,20,37,13,1131.30610454268,379.133617753365,25.6483993459104
87,2015,87.9613929128434,246.111681364173,88,65,39,10,35,14,473.818213497958,0,21.4728242466843
87,2016,116.455721550921,379.956436585174,70,45,22,9,39,6,543.201164662429,116.455721550921,18.3342010885196
