Grid,Year,Month,Monthly_Rain,Monthly_PET,SPI_3,SPEI_3,EDDI_3,PDSI
9,1991,6,377.720475576878,2549.78638500665,-0.284798669875732,-0.243594839331057,-0.0146818687644862,-1.61239116139397
9,1991,7,180.7003833731,2945.70554940054,-0.0950305208618979,-1.06287677347813,1.64066039681799,-1.51546745957656
9,1991,8,184.104590410237,2752.87829014279,0.562398977524352,0.534763407676207,-0.107249020534986,-1.37975528487935
9,1991,9,108.165852917267,2895.37089514336,-0.616683997678956,-1.25021868445878,1.13879303447632,-1.88449237685842
9,1991,10,419.998867986402,3025.62788204007,-0.401100531978351,-0.330597011598512,-0.118439791391891,-1.63950290301267
9,1991,11,234.377254035645,3053.50322497214,-1.00232981418241,-0.666405608196163,-0.110223507809767,-2.01353606211785
9,1991,12,209.287161764855,3487.23803537198,-0.377356340718984,-0.577564209956646,0.491086904796879,-2.03982281880588
9,1992,1,49.3490552350485,3332.54092408555,-1.4502542542658,-0.568544910804267,-0.243897435738115,-2.44136449855657
9,1992,2,30.4227774202855,3789.03549642508,-1.15290597820689,-1.51984484701621,1.42708457727231,-2.98524746680579
9,1992,3,28.2362296830118,4012.15636077935,-2.22893283049892,-1.48001073856955,1.29207703600795,-3.63090318830887
9,1992,4,109.307632052788,3983.21452461528,-2.53040449526598,-2.07540684772571,2.04494328419253,-4.22834981039739
9,1992,5,525.695456723931,2968.34115650825,-0.882684291586857,-1.71320026587245,1.69875638492166,0.0413705853388863
9,1992,6,400.942129815022,2832.02904463251,0.113837073779873,-1.37173044876167,1.87664475020091,0.270397499503645
9,1992,7,310.76142640711,2561.78571676051,0.8489044133007,1.22240332161977,-1.02714226539604,0.751620589782378
9,1992,8,191.049557162081,2761.26822296116,1.16167548340915,1.49214217821234,-0.687931215647322,0.754525365396623
9,1992,9,226.240286627354,2805.21685462127,0.307262404333782,1.01432238775312,-1.52398289314612,0.555554552939699
9,1992,10,287.88964640253,2937.45949145345,-0.424375646211409,0.162822023834097,-1.33895242494841,0.384621732081823
9,1992,11,518.289442398937,3107.06229705142,-0.0528876841276813,0.421193965934405,-0.668177507310929,0.697961461688625
9,1992,12,167.023850026822,3225.38669843896,0.0398358728534555,0.573126280809985,-1.0693110944974,-0.279475782052434
9,1993,1,146.75567317546,3693.43681806712,0.47433261991839,0.0571984407620311,0.455858719882396,-0.336380913760608
9,1993,2,43.9284654554275,3215.35663869535,-0.714639606496585,-0.273842675379264,-0.0205470772680151,-0.825355145769096
9,1993,3,128.172560376665,3867.32035134573,-0.576260253231845,-0.659329590023827,0.598919890680541,-1.11478314686723
9,1993,4,232.972967931825,3362.57486805327,-0.724720253146363,-0.361729046738172,0.155574566205369,-1.12537821022743
9,1993,5,936.224050299903,3139.89986875373,1.16591178358674,0.25431585242449,0.576743542251955,0.411827862852356
9,1993,6,393.958665899778,2569.70950220715,1.54533156919138,1.48318303666321,-0.307223035623245,0.670125951464084
9,1993,7,175.132948988201,2776.034716327,1.44773477883537,1.55011285664327,-0.35228031080885,0.647076050015601
9,1993,8,11.4804174671024,2709.55656162052,-0.137613166259853,0.661811302651783,-1.27942612103322,-0.723888727740488
9,1993,9,136.728496854049,2928.68470716534,-1.33390856400556,-1.13792466414215,0.0755014537587991,-1.22697591820312
9,1993,10,435.267821890013,3000.01013213775,-0.851521695997589,-0.631652870900341,-0.389839713539737,0.103975895475295
9,1993,11,353.921561082123,3084.54954327394,-0.404779682111461,-0.298282321956733,0.064116277303091,0.0624228683170494
9,1993,12,361.284706183845,3219.08870273713,0.653130811876825,0.936223057530052,-0.90657371591467,0.438229680599457
9,1994,1,150.530285104686,3256.17790648542,0.63418730397894,1.21780033590316,-1.30631467491814,0.456396234918806
