Grid,Year,Rx1day,Rx5day,R5mm,R10mm,R20mm,R50mm,CDD,CWD,R95p,R99p,SDII
10,2007,135.966182661626,249.84021153127,129,113,75,15,28,13,416.567586974321,263.707533376041,26.7217942633024
10,2008,131.940114053843,314.143136885523,131,110,70,15,29,13,663.829457210523,131.940114053843,26.6128099358303
10,2009,122.890379990725,290.924823359848,137,121,76,22,25,19,283.06878762863,122.890379990725,27.6513701847967
10,2010,119.842071305712,331.476103816061,139,123,80,18,23,11,842.347037467097,119.842071305712,28.9378488593691
10,2011,104.855589383476,222.461644503984,149,121,66,13,20,19,371.495164837032,0,22.5769610028215
10,2012,158.820495525945,244.598189876083,127,112,69,15,23,10,416.925362630026,158.820495525945,26.6918749311769
10,2013,85.6976717952999,171.299894282006,146,110,57,18,22,8,234.724220461576,0,22.1401177590119
10,2014,112.266707460589,270.343944605298,131,111,71,15,35,12,278.473508924162,0,25.6389568048151
10,2015,89.932491467531,234.136778667836,154,138,82,12,17,15,251.298959404273,0,24.8678468098511
10,2016,132.924446474392,461.770278757908,117,85,46,11,23,16,658.238354498478,264.662948837013,24.4448344926361
10,2017,198.924083195513,373.046126798684,122,104,64,11,20,14,539.863274588476,198.924083195513,26.3787771659097
10,2018,72.8038195105415,236.297663680611,181,147,68,6,19,24,0,0,18.671428993238
10,2019,135.968306887549,291.707544036838,183,142,79,21,16,25,541.037838757023,135.968306887549,22.9134235907305
10,2020,86.9296065601643,267.720816538678,145,115,56,6,29,11,161.571154197437,0,19.4127914740055
10,2021,104.609943537695,227.54064022481,165,141,91,14,17,17,267.463399472994,0,24.2344346206791
10,2022,128.256520195887,314.884135311864,153,125,59,13,23,11,671.967019406416,256.513040391773,22.5656752776194
10,2023,143.92095592864,411.687220204524,179,157,112,31,20,25,1780.12956861782,688.745917499484,31.3655168882762
10,2024,63.2713944633777,180.775417885951,152,120,70,6,18,19,0,0,19.6517656594714
100,1981,100.336725875222,135.512194204218,115,74,34,4,31,8,314.3610716218,100.336725875222,17.0521357567554
100,1982,73.2780483342516,108.48904910705,107,72,28,1,39,10,166.670690475594,73.2780483342516,15.4800907487679
100,1983,62.0468554346652,108.013412159883,73,55,29,4,38,8,317.991287294142,0,18.3907860631036
100,1984,86.3735388182463,218.633016696961,147,113,41,3,15,16,561.045692257659,237.374313214291,16.7165186604594
100,1985,58.3062688921117,136.045875330655,107,77,37,4,24,8,402.034842944889,0,18.2408055515074
100,1986,114.663532728987,199.637249027973,94,71,28,3,34,20,361.238883335191,114.663532728987,18.5200713152123
100,1987,42.0872995069453,119.897050251634,111,82,21,0,20,8,42.0872995069453,0,14.5452706201563
100,1988,66.3127436486196,157.613173584582,122,90,39,3,28,7,415.30685079261,132.539451774977,18.5402384365229
100,1989,78.4183907680797,122.008091774224,94,70,24,5,17,8,408.925511942966,145.131562755738,17.0752032012498
100,1990,120.346593859954,185.765617202863,103,85,38,5,41,9,515.079993419101,306.20275559908,22.226381005655
100,1991,101.781442593981,181.944288622636,89,69,29,4,32,6,460.420930325354,268.780742386282,19.6184164990302
100,1992,96.55358382886,196.905561402448,89,62,32,4,38,11,594.185316879034,168.968769744181,19.8973333978402
100,1993,90.1721940429015,201.885599912202,104,88,39,6,24,8,552.123469221457,157.801341541671,20.8551848959617
100,1994,120.815045182224,165.73408164938,102,82,43,7,26,6,663.616975565863,268.90560786254,21.798178263999
100,1995,55.4917570940981,177.385045388583,118,82,46,3,28,13,339.779174489818,0,18.9483127422837
